               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              2.2959,               1.717,              2.3158,             0.80988,             0.63953,             0.72182,             0.27263,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.2431,              1.6727,               2.214,             0.83036,                0.75,              0.8726,             0.45424,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              2.1748,              1.6345,              2.2531,             0.68494,             0.76127,             0.80019,             0.38108,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              2.2124,              1.6043,              2.2307,             0.93668,              0.7401,             0.86861,             0.38689,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              2.2446,              1.6773,              2.3126,             0.86054,                0.65,             0.78709,             0.38179,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              2.1435,              1.6148,              2.2378,             0.45505,             0.50107,             0.60384,             0.28722,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,               2.124,              1.5922,               2.197,             0.77775,             0.69989,             0.86714,             0.43802,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              2.2276,              1.6745,              2.3586,              0.7801,                0.65,             0.76112,             0.35387,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              2.1774,               1.587,              2.2467,             0.78255,              0.7204,             0.74354,             0.32803,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              2.1619,              1.5463,              2.2044,             0.88531,             0.77265,               0.864,             0.40913,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              2.2447,              1.6459,              2.2648,              0.9459,             0.87492,             0.93347,             0.40639,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              2.1248,              1.6324,              2.2221,             0.73431,                 0.7,             0.77404,             0.32588,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              2.0767,               1.551,              2.1532,             0.54327,                 0.5,             0.53999,             0.25517,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              2.1264,              1.5386,              2.1592,             0.81349,                0.75,             0.81648,              0.3788,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              2.0732,              1.4781,              2.1862,             0.69343,                 0.7,             0.77086,             0.40852,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              2.1641,                1.52,              2.1883,             0.68994,                 0.8,                0.81,              0.4564,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              2.0874,              1.5526,              2.0896,             0.84973,                 0.8,             0.87327,             0.38601,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              2.1272,              1.4943,              2.1865,             0.88208,                 0.8,             0.86151,             0.46197,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              2.0401,               1.404,              2.0716,             0.68295,                 0.8,             0.75766,              0.3405,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              2.0798,                1.47,              2.1318,             0.64666,             0.73255,             0.79666,             0.41201,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              2.0741,               1.544,              2.1375,             0.94091,                0.85,             0.90834,             0.50427,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              2.0088,               1.432,              2.1086,              0.7696,             0.83556,             0.84664,             0.40071,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.9952,              1.3474,              1.9904,             0.88353,                 0.7,             0.84788,              0.3993,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              2.0761,              1.3994,              2.1091,             0.90366,                 0.7,             0.86655,             0.44008,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.9898,              1.3988,              2.0549,             0.82491,             0.94254,             0.91208,             0.41826,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,               2.004,              1.3513,              2.0884,             0.83047,              0.7354,             0.85381,             0.42532,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
